TEST#,ENCODE,DECODE,TOTAL,,
test1.txt,161,40,201,,
test2.txt,273,96,369,,
test3.txt,504,454,958,,
test4.txt,1026,1875,2901,,
test5.txt,3351,8746,12097,,
test6.txt,14523,39517,54040,,
TEST#,ENCODE,DECODE,TOTAL,,
test1.txt,155,34,189,,
test2.txt,164,50,214,,
test3.txt,222,150,372,,
test4.txt,571,696,1267,,
test5.txt,2160,3334,5494,,
test6.txt,10288,16302,26590,,
TEST#,ENCODE,DECODE,TOTAL,,
test1.txt,203,78,281,,
test2.txt,171,62,233,,
test3.txt,234,218,452,,
test4.txt,563,640,1203,,
test5.txt,2176,1889,4065,,
test6.txt,10066,15516,25582,,
TEST#,ENCODE,DECODE,TOTAL,,
test1.txt,156,62,218,,
test2.txt,161,95,256,,
test3.txt,203,187,390,,
test4.txt,550,689,1239,,
test5.txt,2060,2891,4951,,
test6.txt,TEST#,ENCODE,DECODE,TOTAL,
test1.txt,125,TEST#,ENCODE,DECODE,TOTAL
test1.txt,140,1630,1770,,
test2.txt,140,796,936,,
test3.txt,203,734,937,,
test4.txt,546,1187,1733,,
test5.txt,2078,3222,5300,,
test6.txt,9538,14214,23752,,
TEST#,ENCODE,DECODE,TOTAL,,
test1.txt,171,1781,1952,,
test2.txt,140,1046,1186,,
test3.txt,203,906,1109,,
test4.txt,546,1046,1592,,
test5.txt,1943,3039,4982,,
test6.txt,8912,16801,25713,,
TEST#,ENCODE,DECODE,TOTAL,,
test1.txt,144,1325,1469,,
test2.txt,140,1015,1155,,
test3.txt,203,1113,1316,,
test4.txt,536,890,1426,,
test5.txt,2063,3226,5289,,
test6.txt,9618,15146,24764,,
TEST#,ENCODE,DECODE,TOTAL,,
test1.txt,2840,1392,4232,,
test2.txt,1012,781,1793,,
test3.txt,468,593,1061,,
test4.txt,1187,1406,2593,,
test5.txt,2922,3386,6308,,
test6.txt,10066,21068,31134,,
TEST#,ENCODE,DECODE,TOTAL,,
test1.txt,343,296,639,3,
test2.txt,343,171,514,7,
test3.txt,468,328,796,27,
test4.txt,812,906,1718,135,
test5.txt,2476,3507,5983,675,
test6.txt,10536,15562,26098,3376,
TEST#,ENCODE,DECODE,TOTAL
test1.txt,578,234,812
test2.txt,411,265,676
test3.txt,437,359,796
test4.txt,875,890,1765
test5.txt,2641,3422,6063
test6.txt,11616,16505,28121
